id;b01;b02;b03;b04;b05;b06;b07;b08;b09;b10;gender;year;fin_state
Номер респондента;Були засмучені через те, що сталось несподівано?;Bідчували, що неспроможні контролювати важливі речі у вашому житті?;Відчували себе знервовано чи в стані стресу?;Відчували себе впевнено стосовно того, що здатні впоратись з власними проблемами?;Відчували, що події відбуваються так, як вам треба?;Були впевненими, що не можете впоратись з усім тим, що маєте зробити?;Відчували себе здатними контролювати те, що вас дратує?;Були впевненими, що ви все контролюєте?;Були злими через події, які ви не могли контролювати?;Здавалось, що труднощі накопичуються так швидко, що ви не можете їх подолати?;Стать;Курс;Фінансове становище родини
1;0;0;1;3;3;1;2;3;3;0;1;4;4
2;2;1;4;2;1;1;2;0;3;2;2;4;3
3;1;2;3;1;1;3;1;1;3;2;2;4;4
4;1;2;2;3;3;3;1;1;4;2;2;4;3
5;3;3;3;3;3;2;3;2;1;1;2;4;4
6;0;1;4;3;4;0;3;3;0;3;1;4;4
7;1;4;4;1;0;3;0;1;4;4;1;4;2
8;2;1;2;3;2;1;2;2;2;1;1;4;3
9;2;2;1;4;3;0;3;3;2;1;1;4;4
10;2;2;4;3;2;3;2;2;2;3;2;4;3
11;2;0;3;4;4;1;4;3;2;2;2;4;4
12;3;3;4;1;1;3;1;1;4;3;2;4;3
13;2;3;4;3;2;1;2;2;3;3;2;4;4
14;2;1;2;3;3;3;4;3;2;3;1;4;3
15;3;1;4;3;3;4;1;1;3;4;2;4;4
16;2;3;3;3;4;3;2;2;4;2;2;4;5
17;4;4;4;2;1;4;1;0;4;4;2;4;4
18;2;1;4;2;3;2;3;2;1;3;2;4;4
19;3;3;3;2;3;1;1;2;3;1;2;4;3
20;3;2;3;2;2;2;1;1;3;3;2;4;4
21;3;1;3;1;3;2;3;3;3;4;2;4;4
22;4;2;4;2;1;0;2;2;3;3;2;4;4
23;1;3;3;4;2;1;4;3;3;1;1;4;4
24;2;2;4;3;3;3;3;2;4;2;2;4;4
25;4;3;4;2;3;3;0;3;4;3;2;4;4
26;3;1;4;2;2;1;3;2;3;4;1;4;4
27;3;3;2;3;3;1;3;2;2;1;2;4;3
28;3;3;3;3;3;1;2;2;2;2;1;4;4
29;4;3;3;3;2;2;2;3;2;4;2;4;3
30;3;3;3;3;3;3;2;2;3;3;1;4;4
31;1;1;3;4;3;1;4;4;1;2;2;4;4
32;3;4;4;3;3;4;3;2;1;3;2;4;4
33;2;3;4;0;2;4;0;1;4;4;2;4;4
34;2;0;3;4;4;1;4;4;1;1;2;4;4
35;3;3;4;2;1;2;2;2;3;3;2;4;4
36;1;1;2;2;1;2;1;0;1;1;1;4;4
37;1;1;2;3;2;3;2;2;0;3;1;4;4
38;1;2;4;4;4;0;1;2;3;1;2;4;4
39;1;0;2;4;3;0;3;3;1;2;1;4;3
40;3;2;2;4;3;2;2;3;3;2;1;4;3
41;3;3;4;4;4;3;3;2;2;3;2;4;3
42;1;1;2;3;4;0;4;3;2;1;1;4;3
43;2;2;3;2;2;2;2;1;3;3;2;4;4
44;3;2;3;3;3;1;3;2;3;3;2;4;5
45;1;2;4;4;3;1;1;0;3;2;1;4;4
46;2;1;4;3;1;1;2;2;3;1;1;4;4
47;3;2;3;2;1;2;1;1;4;4;2;4;3
48;2;0;4;4;2;1;3;3;2;2;2;4;4
49;0;0;3;1;1;3;1;0;3;3;2;4;4
50;4;3;3;3;1;0;4;2;3;4;1;4;5
51;2;3;4;2;2;2;2;2;3;3;1;4;5
52;2;2;3;3;4;1;3;2;3;3;1;4;4
53;3;1;2;3;3;2;2;2;2;2;2;4;3
54;3;1;1;2;2;2;1;2;1;1;1;4;4
55;3;1;4;3;3;1;0;4;1;2;2;4;3
56;2;0;4;1;3;4;3;4;3;3;2;4;3
57;2;0;0;3;3;1;4;3;0;0;1;4;4
58;1;1;2;4;4;4;2;2;2;1;2;2;4
59;2;0;1;3;3;2;2;3;1;2;1;1;5
60;3;2;3;2;2;1;3;3;4;3;1;1;3
61;0;1;1;4;3;0;3;3;1;0;1;1;5
62;1;1;3;2;2;0;4;4;1;1;2;1;4
63;0;4;1;4;1;0;4;4;0;4;1;1;3
64;1;2;3;1;2;1;2;1;3;3;2;2;3
65;3;3;3;3;3;1;2;3;4;0;2;2;4
66;1;1;4;3;1;1;2;3;3;2;2;2;4
67;4;4;4;0;0;0;0;0;4;4;2;2;1
68;2;2;2;3;2;1;2;2;2;2;2;1;4
69;3;1;3;4;3;2;2;2;4;1;1;3;3
70;1;1;3;2;3;2;2;3;2;1;1;2;3
71;2;3;4;2;1;3;0;1;2;3;1;4;2
72;4;4;4;2;2;0;2;2;2;0;1;2;4
73;2;2;3;2;0;4;1;2;1;2;2;1;3
74;4;2;4;3;2;3;3;4;2;2;2;2;3
75;3;4;4;3;2;4;3;1;1;1;2;2;4
